pool_name,pool_address,pool_data,total_liquidity
RETRO/agEUR (1%),0x15949526fF03fE6ab5f49dA6a86749c20141b3f1,"[((b""\x020\x15\x95_\xfa\x8a\xc8\x9f\x19\xe3L8\xdd\x9b\x88\x10\xc5\xe5x\\j\xb1\xea;8'\x01Q2\xe61"", '0x15949526fF03fE6ab5f49dA6a86749c20141b3f1', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 474181018894525919891, [], [], 0, 7000, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 10000, ('0xBFA35599c7AEbb0dAcE9b5aa3ca5f2a79624D8Eb', 18, 'RETRO', 29472483478400625515059), ('0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4', 18, 'agEUR', 17094023211234825395266), 'oRETRO', 18)]",20871.89
USDC/USDT (0.01%),0x772510189425ac63f9a5A5eF2fd0C7FDA58CBFC7,"[((b""\xfd\xc5_2;M\xa6\x1d\xe6~C\xfd,\xeb\x1c\t/\xcd\xfb\xe2\xb9\n\x81\xd3=?\x91q'\x88\xee\xbb"", '0x772510189425ac63f9a5A5eF2fd0C7FDA58CBFC7', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 2139346623414547771438, [], [], 100, 100, 9800, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174', 6, 'USDC', 64636092204), ('0xc2132D05D31c914a87C6611C10748AEb04B58e8F', 6, 'USDT', 14373185193), 'oRETRO', 18)]",79004.37
WMATIC/MaticX (0.01%),0x9aa18301055091e9da7C57b81633632Fa33B9a80,"[((b'\xff\xad\xdf9\xa4{"";\x01\xbe\x04[VLK\x83\xa8\xfd\xaf\x89lB\x83F\x0ej\xeb\x1bW\xe6F\x14', '0x9aa18301055091e9da7C57b81633632Fa33B9a80', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 7965972703414993532900, [], [], 0, 7000, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 691146736489871161529990), ('0xfa68FB4628DFF1028CFEc22b4162FCcd0d45efb6', 18, 'MaticX', 165873312818012609689178), 'oRETRO', 18)]",731724.76
WMATIC/stMATIC (0.01%),0x2d623c33673248E95C7a1C26aE7065eb7A7Ac0Ea,"[((b'\xe0\xdb\x8d\x13Zio\xab\x85\xba\xd6\xbbO?\xb1\xc6\t\x94\xd1\xea\xf0\xdb7\xa0B\xe2\xf0\xd1FiB~', '0x2d623c33673248E95C7a1C26aE7065eb7A7Ac0Ea', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 78437486955365042656, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 23950696776883125341730), ('0x3A58a54C066FdC0f2D55FC9C89F0415C92eBf3C4', 18, 'stMATIC', 4984967643262604186233), 'oRETRO', 18)]",24684.97
WETH/frxETH (0.01%),0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B,"[((b'\xf2=\xec\x85\x19\xf2\xef-\xc4\xcf\xec\x13\xf1\x12\x8f\xaa!\xfb\xd4\x99\xc7\xef\xd9\x0b\x17?\xcb\xb6\xa7\x8b\xc3\xca', '0xe5069a75Bdfe8F676B778B0aaDCcC597841F819B', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 7340337724067806029111, [], [], 0, 7000, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 100, ('0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619', 18, 'WETH', 24770101701201672020), ('0xEe327F889d5947c1dc1934Bb208a1E792F953E96', 18, 'frxETH', 85875542508773856096), 'oRETRO', 18)]",215945.57
FRAX/frxETH (0.05%),0x38df0c93bf69a9EfB3d3647fF459eF27235A8968,"[((b'z\x12\x12\xbe\xba%`\xe5\xd1\x03^q\xfd\x96\x83;\x00/\x16\xca\x8bk\xbaY\xa2\xb6\xceO\xc4\x93|1', '0x38df0c93bf69a9EfB3d3647fF459eF27235A8968', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1719167085250619987675, [], [], 0, 7000, 3000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89', 18, 'FRAX', 5537122906850825399694), ('0xEe327F889d5947c1dc1934Bb208a1E792F953E96', 18, 'frxETH', 2863491369812028338), 'oRETRO', 18)]",11114.74
WMATIC/frxETH (0.05%),0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2,"[((b'?\xa5o\x04\xfa\x90^\xc3)\xea\xf5\x03Uq\x87qH\xf5\xdf\xe1\xb4t\xcc9\xe6X\x15\xd6\xeb\xa9X\xa0', '0x44AAE81BE8435b6998A66d9642f66DE57DD03FC2', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 4900449744346138953864, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 500, ('0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270', 18, 'WMATIC', 10053300154775263358013), ('0xEe327F889d5947c1dc1934Bb208a1E792F953E96', 18, 'frxETH', 12682521178922574715), 'oRETRO', 18)]",33185.61
LINK/LUCHA (0.3%),0x91248C85DD408BD216254C3cFb51fc326290cF7e,"[((b'\xb6\xc6\xa0\xdb\xabm\xf8\xb9\x06*[\x87\x174f\xb4\xd1s\x97\xb6\xb7\xae\xc6\xf2U\xa2c\x0f\x96\x8e\xb3\xe1', '0x91248C85DD408BD216254C3cFb51fc326290cF7e', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 4947094992105227212382, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 3000, ('0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39', 18, 'LINK', 496468162576404590723), ('0x6749441Fdc8650b5b5a854ed255C82EF361f1596', 18, 'LUCHA', 1116609555733577195605153), 'oRETRO', 18)]",29238.27
CASH/LUCHA (0.3%),0xc666c4b402Bd797185EA419261D22a8f22DDFce6,"[((b'\x87X!\xf0Nj6\xa6\xf6\xaf\x15#J\xfd\xe10*;K,\xe0{rm\xb5>o\xddFk\x13\x9d', '0xc666c4b402Bd797185EA419261D22a8f22DDFce6', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 1245357060562016270632, [], [], 3000, 3000, 4000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 3000, ('0x5D066D022EDE10eFa2717eD3D79f22F949F8C175', 18, 'CASH', 3011676704536176396251), ('0x6749441Fdc8650b5b5a854ed255C82EF361f1596', 18, 'LUCHA', 144232275523948460436837), 'oRETRO', 18)]",5883.2
FRAX/miMATIC (0.3%),0xdeB25Dd2d5D168Fd6f80F154d96a2Dab81d61845,"[((b'\x17\xe1\xe5\xcd\xc9\nbT\x93/,\x1b\xd7o#\xff\xad\x87K\xf0\xfc\xfb\xd5\xe7v\xa8\xbd\x9a\x10\x1f\x16{', '0xdeB25Dd2d5D168Fd6f80F154d96a2Dab81d61845', '0x3A29CAb2E124919d14a6F735b6033a3AaD2B260F', 7597656037282443894138, [], [], 8500, 500, 1000, 1700092800, 168, 0, 25000, '0xB419cE2ea99f356BaE0caC47282B9409E38200fa', b''), 3000, ('0x45c32fA6DF82ead1e2EF74d17b76547EDdFaFF89', 18, 'FRAX', 13314661172164289819103), ('0xa3Fa99A148fA48D14Ed51d610c367C61876997F1', 18, 'miMATIC', 25447165819697845192400), 'oRETRO', 18)]",33761.4
